breakfast | 早餐
lunch | 午餐
dinner | 晚餐
meal | 餐
food | 食物
bread | 麵包
bun | 小圓麵包
toast | 烤吐司
rice | 米；飯
noodle | 麵
salad | 沙拉
egg | 蛋
sandwich | 三明治
soup | 湯
steak | 牛排
cheese | 起司
ham | 火腿
fries | 薯條
hamburger | 漢堡
hot dog | 熱狗
pie | 派
pizza | 披薩
menu | 菜單
bottle | 瓶子；一瓶的容量
cup | 杯子；一杯的容量
pack | 包；打包
package | 包裹；包裝
pair | 一雙；一對
piece | (一) 張；片；塊
glass | 玻璃杯
pound | 磅（重量單位）
full | 飽的；滿的
delicious | 美味的
yummy | 好吃的
hungry | 餓的
thirsty | 口渴的
hot | 熱的；辣的
sweet | 甜的；貼心的
enough | 足夠的
few | 很少的；幾乎沒有
put | 放
cut | 切
wash | 清洗
need | 需要
remember | 記得
live | 居住
bake | 烘焙；烤
fix | 修理；解決
monkey | 猴子
horse | 馬
turtle | 烏龜
bird | 鳥
snake | 蛇
elephant | 大象
bear | 熊
lion | 獅子
tiger | 老虎
animal | 動物
pet | 寵物
dog | 狗
puppy | 小狗
mouse | 老鼠
rat | 大老鼠
chicken | 雞
hen | 母雞
cow | 母牛
duck | 鴨
goose | 鵝
sheep | 綿羊
goat | 山羊
zebra | 斑馬
cat | 貓
fox | 狐狸
frog | 青蛙
pig | 豬
rabbit | 兔子
guy | 傢伙
king | 國王
queen | 皇后
castle | 城堡
giant | 巨人；巨大的
neighbor | 鄰居
person | 人
people | 人們
stranger | 陌生人
teenager | 青少年
foreigner | 外國人
fool | 傻瓜；愚弄
visitor | 訪客；遊客
medicine | 藥
health | 健康
cold | 感冒
headache | 頭痛
fever | 發燒
death | 死亡
sore throat | 喉嚨痛
strong | 強壯的
well | (身體) 好的
healthy | 健康的
comfortable | 舒服的
sick | 生病的
weak | 虛弱的
tired | 疲倦的
sore | 痛的
but | 但是
because | 因為
although / though | 雖然
so | 所以
while | 當......時
laugh | 大笑
smile | 微笑
climb | 爬；攀登
camp | 露營
surf | 衝浪
lose | 輸；失去
win | 贏
hope | 希望
visit | 拜訪；參觀
happen | 發生
hurt | 疼痛；傷害
tell | 告訴；分辨
guess | 猜測
change | 改變
feed | 餵
cheer | 歡呼
fail | 不及格；失敗
pass | 通過（考試）
work | 工作
build | 建造
must | 一定
may | 可能；可以
might | 可能；也許
will | 將會
should | 應該
hobby | 嗜好
interest | 興趣
comic | 漫畫
song | 歌曲
stamp | 郵票
doll | 玩偶；洋娃娃
kite | 風箏
robot | 機器人
toy | 玩具
trip | 旅程；旅行
picnic | 野餐
team | 隊伍
group | 團體
race | 競賽；賽跑
pot | 罐；鍋
bowl | 碗
plate | 盤子
chopstick(s) | 筷子
knife | 刀子
fork | 叉子
spoon | 湯匙
cup | 杯子
dish | 菜肴；盤子
insect | 昆蟲
ant | 螞蟻
bee | 蜜蜂
bug | 小蟲
butterfly | 蝴蝶
bat | 蝙蝠；球棒
spider | 蜘蛛
tail | 尾巴
gym | 體育館
playground | 遊樂場
seesaw | 蹺蹺板
slide | 溜滑梯
swing | 秋千
rope | 繩索
grow | 種植；增加；成長
walk | 走路
keep | 保持
stop | 停止
finish | 結束；完結
bring | 攜帶；帶來
begin | 開始
plan | 計畫
start | 開始
share | 分享；分攤
enjoy | 享受
save | 拯救；儲存；節省
plant | 種植；植物
try | 嘗試
mop | 拖地
fight | 打架；對抗
throw | 扔；丟
wave | 揮(手)；海浪
attack | 攻擊
invite | 邀請
answer | 回答；答案
forget | 忘記
bicycle (bike) | 腳踏車
bus | 公車
car | 汽車
motorcycle | 重型機車
scooter | 輕型機車
train | 火車
taxi | 計程車
truck | 卡車
airplane (plane) | 飛機
ship | 船；艦
boat | 小船
metro | 大眾捷運系統
airport | 機場
block | 街區
station | 車站；（機構的）站、所、署、局
bridge | 橋梁
sidewalk | 人行道
traffic | 交通
season | 季節
spring | 春天；泉水
summer | 夏天
autumn / fall | 秋天
winter | 冬天
weather | 天氣
rainbow | 彩虹
typhoon | 颱風
cloud | 雲
wind | 風
snow | 雪；下雪
rain | 雨；下雨
shower | 陣雨；淋浴
hour | 小時
minute | 分鐘
second | 秒
moment | 時刻；瞬間
half | 一半
quarter | 十五分鐘；四分之一
day | 日；天
year | 年
time | 時間
today | 今天
tonight | 今晚
tomorrow | 明天
yesterday | 昨天
a.m. | 上午；凌晨
p.m. | 下午；晚上
o'clock | 整點鐘
now | 現在
future | 未來
past | 過去；經過
dry | 乾的
wet | 潮溼的
cloudy | 多雲的；陰天的
sunny | 晴朗的
warm | 溫暖的
cool | 涼爽的
cold | 冷的
rainy | 下雨的
snowy | 下雪的
windy | 多風的
clear | 晴朗的
pick | 撿；摘；挑選
arrive | 抵達
drive | 駕駛（車）
fly | 飛行；駕駛（飛機）
ride | 騎（車、馬）
sail | 航行；駕駛（船）
land | 著陸；降落
turn | 轉（向）；翻頁
end | 結束
check | 檢查；查詢
cross | 跨過；越過
enter | 進入
hair | 頭髮
head | 頭
eye | 眼睛
nose | 鼻子
ear | 耳朵
mouth | 嘴巴
shoulder | 肩膀
arm | 手臂
hand | 手
finger | 手指
knee | 膝蓋
stomach | 胃
leg | 腿
foot | 腳
face | 臉
lip | 嘴唇
tooth | 牙齒
back | 背部
body | 身體
heart | 心（臟）
nail | 指甲；釘子
neck | 脖子
throat | 喉嚨
toe | 腳趾
Internet (Net) | 網際網路
e-mail | 電子郵件
mail | 郵件；信件
screen | 螢幕
leader | 領導者
idea | 主意；意見
matter | 事件
case | 案例；情況
chance | 機會
dream | 夢想；夢見
excuse | 理由；藉口
fact | 事實
mistake | 錯誤
meeting | 會議
way | 途徑；方法
thing | 事情；物品
interview | 面試；採訪
ghost | 鬼
sale | 拍賣
story | 樓層
side | 邊
tool | 工具
trouble | 麻煩
voice | 聲音；歌喉
sight | 視力；景象
mind | 想法；心意；介意
rule | 規則
angle | 觀點；角度
die | 死亡
send | 寄送；派遣
sell | 賣
give | 給
show | 展示；表演
teach | 教
smell | 聞起來；氣味
sound | 聽起來；聲音
taste | 嚐起來；味道
hear | 聽到；聽說
feel | 感覺
get | 獲得；變得
become | 成為；變成
order | 點餐；訂購；順序
move | 移動；搬家
drop | 掉下；掉落
kill | 殺
kiss | 親吻
allow | 允許
define | 定義
download | 下載
upload | 上傳
coat | 外套；大衣
hat | 帽子
dress | 洋裝
jeans | 牛仔褲
pants | 長褲
shorts | 短褲
ring | 戒指
shoe(s) | 鞋子
bag | 包包；提袋
tie | 領帶
sock(s) | 襪子
clothes | 衣服
jacket | 夾克
skirt | 裙子
shirt | 襯衫
T-shirt | T恤
cap | (前有遮簷的) 帽子
sweater | 毛衣
uniform | 制服
belt | 腰帶；帶子
comb | 梳子；梳
glove(s) | 手套
mask | 面具；口罩
pocket | 口袋
bow | 蝴蝶結
wallet | 皮夾
button | 鈕扣
centimeter (cm) | 公分
foot | 英尺
yard | 碼
gram | 公克
kilogram (kg) | 公斤
inch | 英寸
mile | 英里
circle | 圓圈
dot | 點；點狀物
point | 點；尖端；要點
line | 線；排
row | 列；排
shape | 形狀；身材
square | 正方形
size | 尺寸
height | 高度
glad | 高興的
unhappy | 不快樂的
afraid | 擔心的；害怕的
noisy | 吵鬧的
brave | 勇敢的
able | 可以的；有能力的
fine | 很好的
own | 自己的；擁有
dead | 死亡的；沒電的
dear | 親愛的
real | 真的；真實的
quiet | 安靜的
loud | 大聲的
lucky | 幸運的
favorite | 最喜愛的
great | 很棒的
excellent | 極佳的；優秀的
helpful | 有幫助的
important | 重要的
pop | 流行的
popular | 受歡迎的
ready | 準備好的
crazy | 瘋狂的
short | 短的
long | 長的
large | 大的
big | 大的
small | 小的
little | 小的
high | 高的
low | 低的
medium | 中間的；中等的
straight | 直的
round | 圓的
close | 接近的；親近的
far | 遠的
deep | 深的
cheap | 便宜的
expensive | 昂貴的
total | 總數(的)
let | 讓；使；允許
make | 使；讓；製造
believe | 相信
decide | 決定
sign | 簽名；標誌
blow | 吹；颳
hit | 打；擊
appear | 出現；似乎
shine | 照耀；發光
rest | 休息
expect | 期待；預計
shop | 購買；商店
wear | 穿；戴
shake | 搖晃
zero | 零（的）
dozen | 一打（十二個）
hundred | 百（的）
thousand | 千（的）
million | 百萬（的）
price | 價格；代價
money | 錢
dollar | 元
cent | 分（金錢單位）
change | 零錢
color | 顏色
black | 黑色（的）
blue | 藍色（的）
brown | 棕色（的）
gray | 灰色（的）
green | 綠色（的）
orange | 橘色（的）
pink | 粉紅色（的）
purple | 紫色（的）
red | 紅色（的）
white | 白色（的）
yellow | 黃色（的）
east | 東方（的）
west | 西方（的）
south | 南方（的）
north | 北方（的）
corner | 角落
top | 頂端；最好的
bottom | 底部
center | 中心；中央
here | 這裡
there | 那裡
back | 後面（的）
front | 前面（的）
left | 左邊（的）
right | 右邊（的）
middle | 中間（的）
act | 行動；表演
borrow | 借（入）
lend | 借（出）
spend | 花費（時間/金錢）
cost | 花費（金錢）；費用
pay | 付錢
clap | 拍手；鼓掌
mean | 意指；刻薄的
agree | 同意
pull | 拉；抽出
push | 推
roll | 滾動；（一）捲
bow | 鞠躬
cheat | 欺騙；作弊
treat | 對待；請客
ago | 在……之前
already | 已經
once | 一次
twice | 兩次
soon | 很快地
birthday | 生日
joy | 歡樂；喜悅
age | 年齡
gift | 禮物；天分
present | 禮物；展現
party | 宴會；派對
fun | 樂趣；有趣的
pleasure | 樂趣；榮幸
photo | 相片
pin | 大頭針；別針
power | 力量；影響力
news | 消息；新聞
newspaper | 報紙
report | 報告；報導
file | 檔案
life | 生活
heat | 熱（度）；加熱
choice | 選擇
topic | 主題
reason | 原因
service | 服務
bored | 感到無聊的
boring | 無聊的；無趣的
excited | 感到興奮的
exciting | 令人興奮的；刺激的
interested | 感興趣的
interesting | 有趣的
surprised | 感到驚訝的
angry | 生氣的
blind | 瞎的；盲的
busy | 忙碌的
careful | 小心的
famous | 有名的
friendly | 友善的
funny | 好笑的；滑稽的
hard-working | 勤勉的
honest | 誠實的
kind | 親切的；種類
lazy | 懶惰的
lonely | 寂寞的；孤獨的
lovely | 可愛的；美好的
mad | 惱火的
polite | 有禮貌的
poor | 貧窮的；可憐的
proud | 驕傲的
rich | 富有的
sad | 難過的
shy | 害羞的
smart | 聰明的
stupid | 愚蠢的；笨的
successful | 成功的
wise | 明智的
safe | 安全的
scared | 感到害怕的
serious | 嚴肅的；認真的
sharp | 鋒利的；尖銳的
simple | 簡單的；單純的
sorry | 感到抱歉的
special | 特別的
strange | 陌生的；奇怪的
sure | 確定的
terrible | 可怕的；糟糕的
thick | 粗的；厚的
tidy | 整齊的
true | 真（實）的
useful | 有用的
wonderful | 很棒的
wrong | 錯誤的
main | 主要的
break | 打破；破壞
spell | 拼（字）
touch | 摸；碰觸
belong | 屬於；處在
collect | 收集
cover | 覆蓋；掩護
dig | 挖
lead | 帶領
surprise | 使驚訝；驚喜
experience | 經歷；經驗
date | 約會；日期
since | 自……以來
whether | 是否
as | 如同；作為
temple | 寺廟
church | 教堂
space | 空間；空地
area | 地區；區域
movie | 電影
habit | 習慣
ticket | 票；券
trick | 把戲；騙局
action | 行動
Taiwanese | 臺灣人的；臺灣人
string | 細繩
tip | 指示；訣竅；小費
new | 新的
right | 對的；右邊的
same | 一樣的；相同的
different | 不同的
magic | 魔術(的)；魔法(的)
only | 唯一的；只；僅僅
hard | 辛苦的；困難的；硬的
easy | 容易的
difficult | 困難的
clean | 乾淨的；打掃
dirty | 骯髒的
free | 空閒的；免費的；自由的
bright | 鮮豔的；明亮的；晴朗的
public | 公眾的
convenient | 方便的
fresh | 新鮮的
dark | 黑暗的；深色的
possible | 可能的
correct | 正確的；訂正
dangerous | 危險的
common | 普遍的；共同的
national | 國家的；國立的
present | 出席的；現在
modern | 現代的
foreign | 外國的
carry | 攜帶；搬運
hide | 躲藏；隱藏
smoke | 抽菸；煙
fry | 煎；炸；炒
boil | 煮沸
lie | 說謊；躺
type | 打字；種類
notice | 注意(到)；公告
set | 設置；創立
burn | 燃燒；燒焦
explain | 解釋；說明
very | 非常；很
really | 真地
together | 一起
even | 甚至
then | 那麼；然後
still | 仍然
away | 離......之遠
just | 就；只；僅
else | 其他
maybe | 或許
however | 然而
probably | 或許
actually | 實際上
perhaps | 或許
yet | 還(沒)；尚(未)
quite | 相當
widely | 廣泛地
job | 工作
boss | 老闆
dentist | 牙醫
driver | 駕駛；司機
clerk | 店員
shopkeeper | 店主
lawyer | 律師
soldier | 軍人；士兵
worker | 工作者
fisherman | 漁夫
mailman (mail carrier) | 郵差
secretary | 秘書
part | 部分
item | 項目
level | 程度；高度
joke | 笑話
any | 任何
some | 一些
both | 兩者
all | 全部
many | 許多 (的)
much | 許多 (的)
each | 每一；各自
other | 其他的
another | 另一個 (的)
anyone (anybody) | 任何人
someone (somebody) | 某人
everyone (everybody) | 每個人；各位
nobody | 沒有人
anything | 任何東西
something | 某事；某物
everything | 每樣事物
nothing | 無事；無物
more | 更多 (的)
most | 大多數；最多的
several | 數個 (的)；幾個 (的)
rise | 上升；升起；上漲
deal | 處理；交易
fill | (使) 充滿／裝滿
pray | 祈禱
repeat | 重複；複誦
reach | 觸及；與……聯絡上
abroad | 在國外
ahead | 在前面；事前
somewhere | 在某處
again | 再次
also | 也
too | 也 (用於肯定句)
either | 也 (用於否定句)
almost | 幾乎
finally | 最後；終於
least | 最少；最不
later | 稍後
off | 離開；脫離
out | (到) 外面
around | 到處；在周圍
neither | 也不；兩者皆非
near | 在……附近
along | 沿著
during | 在……期間
until | 直到
with | 和；用
without | 沒有
about | 關於
for | 給；為了
like | 像；喜歡
except | 除了……之外
from | 從……；由……
pond | 池塘
sea | 海
river | 河
hill | 小山；丘陵
mountain | 山
island | 島
lake | 湖
land | 土地；地面
earth | 地球
moon | 月亮
star | 星星
sun | 太陽
planet | 星球
nature | 自然
sky | 天空
air | 空氣
grass | 草（地）
ground | 地面
mud | 土；泥土
earthquake | 地震
tree | 樹
flower | 花
seed | 種子
rose | 玫瑰
rock | 岩石
honey | 蜂蜜
can | （鐵、鋁）罐
fire | 火
garbage | 垃圾
trash | 垃圾
list | 清單；列出
business | 事業；生意
member | 成員
error | 錯誤
God | 上帝；神
pack | 打包
hang | 掛
tip | 給小費；訣竅
bite | 咬
before | 在......之前
after | 在......之後
above | 高於；在......上面
below | 低於；在......下面
beside | 在......旁邊
behind | 在......後面
outside | 在......外面
inside | 在......裡面
across | 橫越；穿過
between | 在......之間
through | 經由；通過
by | 在旁邊；藉由；被
towel | 毛巾
blanket | 毛毯
basket | 籃子
window | 窗戶
umbrella | 雨傘
drawer | 抽屜
lamp | 燈
radio | 收音機
tape | 錄音帶；膠帶
video | 影片
television (TV) | 電視
telephone (phone) | 電話
smartphone | 智慧型手機
refrigerator (fridge) | 冰箱
washing machine | 洗衣機
elementary school | 小學
junior high school | 國中
senior high school | 高中
eve | 前夕
Christmas Eve | 平安夜
Easter | 復活節
Halloween | 萬聖節前夕
Christmas | 聖誕節
festival | 節慶
holiday | 節日；假日
vacation | 假期
gas | 汽油；瓦斯
pipe | 管子
program | 計畫；節目
root | 根源；根
quick | 快速的；敏捷的
slow | 緩慢的
next | 下一個的
fast | 快的；快地
early | 早的；早地
late | 晚的；晚地
married | 已婚的
blank | 空白的；空格
born | 出生的；誕生的
raise | 舉起；提高；養育；募（款）
hunt | 狩獵
copy | 複製；抄襲；副本；影本
hate | 討厭；憎恨
mark | 標記；記號；成績
kick | 踢
knock | 擊；敲
paste | 黏貼；漿糊
